amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,signature-confirmation-recommended
113-3404153-1983418,113-3404153-1983418,2023-05-03T16:37:44+00:00,2023-05-10T02:08:26+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,"Vital Proteins, Unflavored Collagen Peptides, 20 Ounce",1055675514,B07H85ZDLG,Shipped,1,USD,36.19,,,,,,,,JACKSONVILLE,FL,32210-6940,US,,FALSE,,,FALSE
112-2563390-2044205,112-2563390-2044205,2023-05-03T16:18:50+00:00,2023-05-03T16:56:09+00:00,Cancelled,Amazon,Amazon.com,,,Expedited,"Vital Proteins, Unflavored Collagen Peptides, 20 Ounce",1055675514,B07H85ZDLG,Cancelled,0,,,,,,,,,,GREER,SC,29651-1023,US,,FALSE,,,FALSE
112-0333964-8651467,112-0333964-8651467,2023-05-03T15:46:27+00:00,2023-05-11T00:07:07+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,"Vital Proteins, Unflavored Collagen Peptides, 20 Ounce",1055675514,B07H85ZDLG,Shipped,1,USD,36.19,,,,,,,,SPRING VALLEY,IL,61362-1630,US,,FALSE,,,FALSE
111-1870867-3282615,111-1870867-3282615,2023-05-03T15:37:27+00:00,2023-05-03T23:28:59+00:00,Cancelled,Amazon,Amazon.com,,,Standard,"Vital Proteins, Unflavored Collagen Peptides, 20 Ounce",1055675514,B07H85ZDLG,Cancelled,0,,,,,,,,,,OAK LAWN,IL,60453-1026,US,,FALSE,,,FALSE
114-8814639-9515457,114-8814639-9515457,2023-05-03T11:23:51+00:00,2023-05-07T13:56:50+00:00,Shipped,Amazon,Amazon.com,,,NextDay,Vital Proteins Marine Collagen Peptides Powder Supplement for Skin Hair Nail Joint - Hydrolyzed Collagen - 12g per Serving - 7.8 oz Canister,1055675492,B07D9WSWFR,Shipped,1,USD,35,,,,,,,,MIAMI,FL,33166-2325,US,,FALSE,,,FALSE
112-3928333-7093806,,2023-05-03T04:54:03+00:00,2023-05-04T02:22:41+00:00,Cancelled,Merchant,Amazon.com,WebsiteOrderChannel,,Expedited,"CeraVe Acne Foaming Cream Cleanser | Acne Treatment Face Wash with 4% Benzoyl Peroxide, Hyaluronic Acid, and Niacinamide | Cream to Foam Formula | Fragrance Free & Non Comedogenic | 5 Oz",4R-1J6E-QJ0N,B07YLJPMC3,,0,USD,25.95,2.01,13.31,1.03,,,,,SANTA BARBARA,CA,93108-1324,US,,FALSE,,,FALSE
113-3221931-9678652,,2023-05-03T01:19:57+00:00,2023-05-03T02:37:45+00:00,Shipped,Merchant,Amazon.com,WebsiteOrderChannel,,Standard,"CeraVe Acne Foaming Cream Cleanser | Acne Treatment Face Wash with 4% Benzoyl Peroxide, Hyaluronic Acid, and Niacinamide | Cream to Foam Formula | Fragrance Free & Non Comedogenic | 5 Oz",4R-1J6E-QJ0N,B07YLJPMC3,Shipped,1,USD,25.95,,,,,,,,Brooklyn,NY,11207-6910,US,,FALSE,,,FALSE
114-6509756-2665055,,2023-05-02T23:24:24+00:00,2023-05-03T02:37:48+00:00,Shipped,Merchant,Amazon.com,WebsiteOrderChannel,,Standard,"CeraVe Acne Foaming Cream Cleanser | Acne Treatment Face Wash with 4% Benzoyl Peroxide, Hyaluronic Acid, and Niacinamide | Cream to Foam Formula | Fragrance Free & Non Comedogenic | 5 Oz",4R-1J6E-QJ0N,B07YLJPMC3,Shipped,1,USD,25.95,2.47,,,,,,,WINNETKA,CA,91306-2636,US,,FALSE,,,FALSE
113-8624989-7598620,,2023-05-02T22:24:32+00:00,2023-05-03T02:37:47+00:00,Shipped,Merchant,Amazon.com,WebsiteOrderChannel,,Standard,"CeraVe Acne Foaming Cream Cleanser | Acne Treatment Face Wash with 4% Benzoyl Peroxide, Hyaluronic Acid, and Niacinamide | Cream to Foam Formula | Fragrance Free & Non Comedogenic | 5 Oz",4R-1J6E-QJ0N,B07YLJPMC3,Shipped,1,USD,25.95,1.56,,,,,,,DOWNINGTOWN,PA,19335-2153,US,,FALSE,,,FALSE
114-6284624-6937007,,2023-05-02T21:54:07+00:00,2023-05-03T02:27:10+00:00,Shipped,Merchant,Amazon.com,WebsiteOrderChannel,,Standard,"CeraVe Acne Foaming Cream Cleanser | Acne Treatment Face Wash with 4% Benzoyl Peroxide, Hyaluronic Acid, and Niacinamide | Cream to Foam Formula | Fragrance Free & Non Comedogenic | 5 Oz",4R-1J6E-QJ0N,B07YLJPMC3,Shipped,1,USD,25.95,,,,,,,,BROOKLYN,NY,11219-5389,US,,FALSE,,,FALSE
114-7499005-3561021,114-7499005-3561021,2023-05-02T19:52:59+00:00,2023-05-04T04:53:15+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Community Coffee New Orleans Blend 24 Count Coffee Pods, Special Dark Roast, Compatible with Keurig 2.0 K-Cup Brewers, Box of 24 Pods",11.73-Amazon-1.20.23,B07D4S7GV4,Shipped,1,USD,17.99,0.36,,,,,,,WOODSTOCK,GA,30189-5437,US,,FALSE,,,FALSE
111-8662965-2271411,,2023-05-02T18:26:24+00:00,2023-05-03T21:35:41+00:00,Shipped,Merchant,Amazon.com,WebsiteOrderChannel,,Standard,"CeraVe Acne Foaming Cream Cleanser | Acne Treatment Face Wash with 4% Benzoyl Peroxide, Hyaluronic Acid, and Niacinamide | Cream to Foam Formula | Fragrance Free & Non Comedogenic | 5 Oz",4R-1J6E-QJ0N,B07YLJPMC3,Shipped,1,USD,25.95,,,,,,,,BROOKLYN,NY,11211-3968,US,,FALSE,,,FALSE
112-2624887-2889825,,2023-05-02T18:22:41+00:00,2023-05-02T23:00:21+00:00,Shipped,Merchant,Amazon.com,WebsiteOrderChannel,,Standard,"CeraVe Acne Foaming Cream Cleanser | Acne Treatment Face Wash with 4% Benzoyl Peroxide, Hyaluronic Acid, and Niacinamide | Cream to Foam Formula | Fragrance Free & Non Comedogenic | 5 Oz",4R-1J6E-QJ0N,B07YLJPMC3,Shipped,1,USD,25.95,,,,,,,,SILSBEE,TX,77656-5920,US,,FALSE,,,FALSE
