amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,signature-confirmation-recommended
114-1956277-2113810,114-1956277-2113810,2023-03-18T21:57:02+00:00,2023-03-19T11:37:14+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More",1056060222,B0BQZBPY2L,Shipped,1,USD,65,5.36,,,,,,,AUSTIN,TX,78751-4627,US,,FALSE,,,FALSE
113-9930647-8345822,113-9930647-8345822,2023-03-18T21:50:31+00:00,2023-03-19T15:34:32+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More",1056060222,B0BQZBPY2L,Shipped,1,USD,65,4.55,,,,,,,ASHEVILLE,NC,28806-2815,US,,FALSE,,,FALSE
111-5349184-9719421,111-5349184-9719421,2023-03-18T21:37:18+00:00,2023-03-20T04:32:19+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More",1056060222,B0BQZBPY2L,Shipped,1,USD,65,2.75,,,,,,,BALLWIN,MO,63011-3517,US,,FALSE,,,FALSE
112-6883373-9148230,112-6883373-9148230,2023-03-18T21:19:21+00:00,2023-03-19T09:19:44+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More",1056060222,B0BQZBPY2L,Shipped,1,USD,65,5.36,,,,,,,WYLIE,TX,75098-6311,US,,FALSE,,,FALSE
114-1688310-3255426,114-1688310-3255426,2023-03-18T19:58:20+00:00,2023-03-19T06:25:51+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More",1056060222,B0BQZBPY2L,Shipped,1,USD,65,4.55,,,,,,,CRESTVIEW,FL,32536-6450,US,,FALSE,,,FALSE
112-4620250-5901053,112-4620250-5901053,2023-03-18T19:17:00+00:00,2023-03-19T01:58:21+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More",1056060222,B0BQZBPY2L,Shipped,1,USD,65,5.77,,,,,,,BROOKLYN,NY,11231-1819,US,,FALSE,,,FALSE
112-3421005-2898630,112-3421005-2898630,2023-03-18T19:10:08+00:00,2023-03-19T22:28:17+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More",1056060222,B0BQZBPY2L,Shipped,1,USD,65,4.23,,,,,,,WESTVILLE,IL,61883-1204,US,,FALSE,,,FALSE
111-1898029-5877061,111-1898029-5877061,2023-03-18T13:29:24+00:00,2023-03-20T15:29:42+00:00,Cancelled,Amazon,Amazon.com,,,Standard,"Vital Proteins Collagen Peptides Powder, Helps Support Healthy Hair, Skin, Nails, Bones and Joints - Vanilla 11.5 oz",1055958576,B096YQGYFP,Cancelled,0,,,,,,,,,,Muntinlupa,Muntinlupa,1781,PH,,FALSE,,,FALSE
112-2301882-3980214,112-2301882-3980214,2023-03-18T13:25:11+00:00,2023-03-19T19:03:51+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Vital Proteins Collagen Peptides Powder, Promotes Hair, Nail, Skin, Bone and Joint Health, Lemon 11 Ounce",1055675480,B0B3Q1HNQ5,Shipped,1,USD,31.97,,,,,,,,THOMASTON,CT,06787-1960,US,,FALSE,,,FALSE
113-0927842-9725066,113-0927842-9725066,2023-03-18T07:11:30+00:00,2023-03-25T17:00:03+00:00,Shipped,Amazon,Amazon.com,,http://www.amazon.com,Expedited,"Vital Proteins Collagen Peptides Powder, Helps Support Healthy Hair, Skin, Nails, Bones and Joints - Vanilla 11.5 oz",1055958576,B096YQGYFP,Shipped,1,USD,22.48,,,,,,,,SAINT PETERS,MO,63376-3447,US,,FALSE,,,FALSE
112-6274171-2202645,112-6274171-2202645,2023-03-17T12:36:46+00:00,2023-03-18T16:47:15+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Vital Proteins Beauty Collagen Peptides Powder Supplement for Women, 120mg of Hyaluronic Acid - 15g of Collagen Per Serving - Enhance Skin Elasticity",1055865813,B07B6B14NS,Shipped,1,USD,25,1.56,,,,,,,NORTH DIGHTON,MA,02764-1372,US,,FALSE,,,FALSE
113-2897447-6737068,113-2897447-6737068,2023-03-17T04:48:52+00:00,2023-03-17T23:03:55+00:00,Shipped,Amazon,Amazon.com,,,Expedited,"Vital Proteins Beauty Collagen Peptides Powder Supplement for Women, 120mg of Hyaluronic Acid - 15g of Collagen Per Serving - Enhance Skin Elasticity",1055865813,B07B6B14NS,Shipped,1,USD,25,2.56,,,,,,,NORWALK,CA,90650-6317,US,,FALSE,,,FALSE
111-4075284-2781064,111-4075284-2781064,2023-03-17T04:36:08+00:00,2023-03-17T07:12:54+00:00,Shipped,Amazon,Amazon.com,,,Standard,"Vital Proteins Beauty Collagen Peptides Powder Supplement for Women, 120mg of Hyaluronic Acid - 15g of Collagen Per Serving - Enhance Skin Elasticity",1055865813,B07B6B14NS,Shipped,1,USD,25,2.38,,,,,,,LOS ANGELES,CA,90065-1306,US,,FALSE,,,FALSE
111-9208236-4877040,111-9208236-4877040,2023-03-15T19:39:57+00:00,2023-03-25T05:25:04+00:00,Shipped,Amazon,Amazon.com,,,Standard,"Vital Proteins Collagen Peptides Powder, Helps Support Healthy Hair, Skin, Nails, Bones and Joints - Vanilla 11.5 oz",1055958576,B096YQGYFP,Shipped,1,USD,22.48,1.88,3.78,,,,,3.78,LAS VEGAS,NV,89123-6506,US,US Core Free Shipping Promotion A3JU1FCINF5SD0,FALSE,,,FALSE
112-7497485-2255409,112-7497485-2255409,2023-03-15T19:05:48+00:00,2023-03-23T02:32:08+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,"Vital Proteins Collagen Peptides Powder, Helps Support Healthy Hair, Skin, Nails, Bones and Joints - Vanilla 11.5 oz",1055958576,B096YQGYFP,Shipped,1,USD,22.48,1.57,,,,,,,COATESVILLE,IN,46121-9762,US,,FALSE,,,FALSE
111-0280114-0832277,111-0280114-0832277,2023-03-15T19:00:35+00:00,2023-03-19T05:57:16+00:00,Shipped,Amazon,Amazon.com,,,Standard,"Vital Proteins Collagen Peptides Powder, Helps Support Healthy Hair, Skin, Nails, Bones and Joints - Vanilla 11.5 oz",1055958576,B096YQGYFP,Shipped,1,USD,22.48,,6.99,,,,,,amston,connecticut,6231,US,,FALSE,,,FALSE
