amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,signature-confirmation-recommended
114-8627900-3850654,114-8627900-3850654,2023-01-31T17:20:43+00:00,2023-02-08T16:19:45+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Cornflower,TF-LI6U-3DEN,B09V5PS6BZ,Shipped,1,USD,82,7.18,,,,,,,ROME,NY,13440-8928,US,,FALSE,,,FALSE
113-7921988-0317849,113-7921988-0317849,2023-01-31T14:39:39+00:00,2023-02-15T05:42:02+00:00,Shipped,Amazon,Amazon.com,,http://www.amazon.com,Standard,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,,,,,,,,MEMPHIS,TN,38128-2718,US,,FALSE,,,FALSE
113-7419680-5889038,113-7419680-5889038,2023-01-31T13:56:10+00:00,2023-02-04T16:59:10+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Cornflower,TF-LI6U-3DEN,B09V5PS6BZ,Shipped,1,USD,82,5.95,,,,,,,ATHENS,OH,45701-2563,US,,FALSE,,,FALSE
112-9725834-9565868,112-9725834-9565868,2023-01-31T13:48:26+00:00,2023-02-10T22:47:44+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,6.63,,,,,,,TUTTLE,OK,73089-9256,US,,FALSE,,,FALSE
114-5163296-2047444,114-5163296-2047444,2023-01-31T13:31:38+00:00,2023-02-09T04:02:42+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,5.44,,,,,,,DOTHAN,AL,36303-1429,US,,FALSE,,,FALSE
113-0175801-6853001,113-0175801-6853001,2023-01-31T13:30:55+00:00,2023-02-08T17:03:11+00:00,Shipped,Amazon,Amazon.com,,http://www.amazon.com,Standard,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,,,,,,,,GOODYEAR,AZ,85338,US,,FALSE,,,FALSE
113-6755100-2903403,113-6755100-2903403,2023-01-31T12:58:58+00:00,2023-02-15T05:43:26+00:00,Shipped,Amazon,Amazon.com,,http://www.amazon.com,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,,,,,,,,MEMPHIS,TN,38128-2718,US,,FALSE,,,FALSE
113-3196264-7237808,113-3196264-7237808,2023-01-31T12:23:01+00:00,2023-02-25T10:28:15+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,5.61,,,,,,,AUSTIN,TX,78733-6512,US,,FALSE,,,FALSE
112-7733148-5152221,112-7733148-5152221,2023-01-31T11:04:22+00:00,2023-02-10T15:39:55+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Vital Proteins Marine Collagen Peptides Powder Supplement for Skin Hair Nail Joint - Hydrolyzed Collagen - 12g per Serving - 7.8 oz Canister,1055675492,B07D9WSWFR,Shipped,1,USD,30,,,,,,,,FRANCESTOWN,NH,3043,US,,FALSE,,,FALSE
111-5676141-8388223,111-5676141-8388223,2023-01-31T11:03:40+00:00,2023-02-10T18:08:37+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Vital Proteins Marine Collagen Peptides Powder Supplement for Skin Hair Nail Joint - Hydrolyzed Collagen - 12g per Serving - 7.8 oz Canister,1055675492,B07D9WSWFR,Shipped,1,USD,30,,,,,,,,MIDDLE VILLAGE,NY,11379-1717,US,,FALSE,,,FALSE
113-6286990-1138617,113-6286990-1138617,2023-01-31T10:48:17+00:00,2023-02-12T23:00:26+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,4.76,,,,,,,MOUNT VERNON,IN,47620-6943,US,,FALSE,,,FALSE
112-6227369-8979459,112-6227369-8979459,2023-01-31T10:27:11+00:00,2023-02-08T06:47:37+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Vital Proteins Marine Collagen Peptides Powder Supplement for Skin Hair Nail Joint - Hydrolyzed Collagen - 12g per Serving - 7.8 oz Canister,1055675492,B07D9WSWFR,Shipped,2,USD,60,4.8,,,,,,,COLUMBIA,SC,29212-2493,US,,FALSE,,,FALSE
112-5012868-2385062,112-5012868-2385062,2023-01-31T05:29:45+00:00,2023-02-01T16:56:47+00:00,Shipped,Amazon,Amazon.com,,,Expedited,Stanley Adventure Quencher Travel Tumbler 40oz Cornflower,TF-LI6U-3DEN,B09V5PS6BZ,Shipped,1,USD,82,6.05,,,,,,,MONTICELLO,MN,55362,US,,FALSE,,,FALSE
111-8721549-8422623,111-8721549-8422623,2023-01-31T04:41:13+00:00,2023-02-13T16:15:47+00:00,Shipped,Amazon,Amazon.com,,,Standard,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,3.4,5.99,0.3,,,,,PARKER,CO,80134-5780,US,,FALSE,,,FALSE
114-0477651-1437009,114-0477651-1437009,2023-01-31T04:32:14+00:00,2023-02-10T00:11:05+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,5.93,,,,,,,Longmont,CO,80501,US,,FALSE,,,FALSE
114-2829393-4946669,114-2829393-4946669,2023-01-31T03:49:29+00:00,2023-02-11T18:39:17+00:00,Cancelled,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Cancelled,0,,,,,,,,,,MOTT,ND,58646-7225,US,,FALSE,,,FALSE
112-9132441-4823437,112-9132441-4823437,2023-01-31T03:48:57+00:00,2023-02-07T14:46:29+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,4.66,,,,,,,INDEPENDENCE,MO,64050-2631,US,,FALSE,,,FALSE
112-7301112-7138635,112-7301112-7138635,2023-01-31T03:23:13+00:00,2023-02-07T20:10:31+00:00,Shipped,Amazon,Amazon.com,,,Standard,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,4.25,2.21,0.14,,,,,FARWELL,TX,79325-3632,US,,FALSE,,,FALSE
113-5413082-7241062,113-5413082-7241062,2023-01-31T03:12:47+00:00,2023-02-09T00:18:49+00:00,Shipped,Amazon,Amazon.com,,,Standard,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,4.32,5.99,,,,,,Cleveland,UT,84518,US,,FALSE,,,FALSE
113-4746113-8297036,113-4746113-8297036,2023-01-31T02:47:18+00:00,2023-02-07T07:01:24+00:00,Shipped,Amazon,Amazon.com,,http://www.amazon.com,NextDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,,,,,,,,WEST JEFFERSON,OH,43162-9747,US,,FALSE,,,FALSE
113-2226472-7948251,113-2226472-7948251,2023-01-31T02:09:22+00:00,2023-02-02T01:39:42+00:00,Cancelled,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Cancelled,0,,,,,,,,,,NAMPA,ID,83687-9430,US,,FALSE,,,FALSE
111-7039399-0639414,111-7039399-0639414,2023-01-31T01:57:29+00:00,2023-02-05T11:32:16+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,6.29,,,,,,,CHATTANOOGA,TN,37421-3100,US,,FALSE,,,FALSE
112-0007482-1605839,112-0007482-1605839,2023-01-31T00:49:49+00:00,2023-02-04T21:15:46+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,5.44,,,,,,,SHAKER HEIGHTS,OH,44122-2829,US,,FALSE,,,FALSE
113-2365920-0080260,113-2365920-0080260,2023-01-31T00:23:54+00:00,2023-01-31T00:33:09+00:00,Cancelled,Amazon,Amazon.com,,,Standard,Stanley Quencher H2.0 FlowState Tumbler 40oz (Black),WU-UHIQ-AQUP,B0BD7BY47S,Cancelled,0,,,,,,,,,,ANCHORAGE,AK,99515-3135,US,,FALSE,,,FALSE
111-9948691-6206663,111-9948691-6206663,2023-01-31T00:23:08+00:00,2023-02-12T20:37:16+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Quencher H2.0 FlowState Tumbler 40oz (Black),WU-UHIQ-AQUP,B0BD7BY47S,Shipped,1,USD,67.99,6.97,,,,,,,BERKELEY,CA,94704-3303,US,,FALSE,,,FALSE
113-4010117-2976266,113-4010117-2976266,2023-01-31T00:21:27+00:00,2023-02-02T20:19:31+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Quencher H2.0 FlowState Tumbler 40oz (Black),WU-UHIQ-AQUP,B0BD7BY47S,Shipped,1,USD,67.99,4.08,,,,,,,BUFFALO,KY,42716-8106,US,,FALSE,,,FALSE
111-8873441-8597029,111-8873441-8597029,2023-01-31T00:00:43+00:00,2023-02-08T06:19:38+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Cornflower,TF-LI6U-3DEN,B09V5PS6BZ,Shipped,1,USD,82,8.28,,,,,,,SAMMAMISH,WA,98075-7482,US,,FALSE,,,FALSE
113-1300611-7481023,113-1300611-7481023,2023-01-30T23:44:31+00:00,2023-02-09T15:52:58+00:00,Shipped,Amazon,Amazon.com,,http://www.amazon.com,SecondDay,Stanley Adventure Quencher Travel Tumbler 40oz Sea Foam,0B-I09Y-9MVX,B09V5R6PP3,Shipped,1,USD,68,,,,,,,,WILMINGTON,DE,19804-2052,US,,FALSE,,,FALSE
112-8023493-5775462,112-8023493-5775462,2023-01-30T23:13:56+00:00,2023-02-01T22:46:15+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,No7 City Light Tinted Moisturiser - Moisturiser Fair,G2-MPXM-BQW7,B01M9EVXFK,Shipped,1,USD,10.48,0.93,,,,,,,Brooklyn,new York,11225,US,,FALSE,,,FALSE
113-0092364-6448256,113-0092364-6448256,2023-01-30T23:08:05+00:00,2023-02-09T01:55:08+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,STANLEY Quencher H2.0 FlowState Tumbler 40oz (Eucalyptus),91-4BLA-7TKX,B0BD76CTHT,Shipped,1,USD,67.99,5.1,,,,,,,MINOT,ND,58703-2155,US,,FALSE,,,FALSE
111-8319092-6177018,111-8319092-6177018,2023-01-30T22:53:36+00:00,2023-02-14T17:44:38+00:00,Shipped,Amazon,Amazon.com,,,SecondDay,STANLEY Quencher H2.0 FlowState Tumbler 40oz (Eucalyptus),91-4BLA-7TKX,B0BD76CTHT,Shipped,1,USD,67.99,4.76,,,,,,,WINSTON SALEM,NC,27106-6278,US,,FALSE,,,FALSE
